Latitude,Longitude,Month,Mean Power Proportion,SW_DWN,LW_DWN,SW_DIFF,SW_DNI,Cloud,Clearness,Humidity,Precipitation,Temp
37.15,-121.65,jan,0.1102058599695586,2.33,6.94,1.08,3.42,54.89,0.5,87.16,2.84,9.29
37.15,-121.65,feb,0.14629318873668187,3.64,6.77,1.09,5.64,39.1,0.59,80.91,1.93,9.91
37.15,-121.65,mar,0.14620471841704716,3.98,7.19,2.12,3.58,73.23,0.49,85.2,5.04,8.65
37.15,-121.65,apr,0.16653900304414004,4.94,7.58,2.12,4.31,62.98,0.5,85.25,3.58,11.57
37.15,-121.65,may,0.22114383561643836,7.73,7.26,1.65,9.2,23.6,0.7,80.83,0.71,13.89
37.15,-121.65,jun,0.23281906392694063,8.05,7.7,1.57,9.62,22.69,0.7,75.23,0.04,16.76
37.15,-121.65,jul,0.2291392694063927,8.21,7.93,1.25,10.28,11.67,0.73,67.91,0.01,19.19
37.15,-121.65,aug,0.21582324961948252,7.56,7.59,1.0,10.25,9.33,0.74,70.94,0.01,17.39
37.15,-121.65,sep,0.19287461948249618,6.08,7.5,1.08,8.5,12.6,0.71,66.74,0.03,17.22
37.15,-121.65,oct,0.16770909436834092,4.35,7.32,0.98,6.95,23.67,0.65,65.23,0.14,15.22
37.15,-121.65,nov,0.12319901065449008,2.66,7.29,1.0,4.45,50.34,0.53,80.36,1.22,12.04
37.15,-121.65,dec,0.101888698630137,2.23,6.8,0.87,3.99,50.49,0.53,73.04,2.8,9.35
38.75,-121.55,jan,0.11174018264840183,2.12,7.12,1.01,3.14,61.35,0.47,84.2,3.51,7.57
38.75,-121.55,feb,0.1829002283105023,3.58,6.9,1.03,5.76,40.0,0.6,74.62,3.49,9.13
38.75,-121.55,mar,0.17164908675799087,3.88,7.28,2.03,3.54,73.66,0.49,84.67,6.47,6.82
38.75,-121.55,apr,0.22184109589041096,4.94,7.8,2.03,4.37,63.11,0.51,81.87,4.9,12.16
38.75,-121.55,may,0.29805867579908674,7.6,7.68,1.75,8.86,24.11,0.69,72.08,0.66,17.72
38.75,-121.55,jun,0.30295410958904107,8.07,8.28,1.61,9.61,22.88,0.7,56.23,0.04,22.94
38.75,-121.55,jul,0.3002248858447489,8.25,8.6,1.19,10.52,11.87,0.73,36.46,0.03,27.61
38.75,-121.55,aug,0.2955367579908676,7.58,8.05,0.98,10.33,5.69,0.75,34.48,0.01,24.55
38.75,-121.55,sep,0.26712260273972604,6.07,7.97,1.07,8.59,11.65,0.71,30.81,0.02,22.75
38.75,-121.55,oct,0.20692123287671232,4.28,7.59,0.98,6.94,23.0,0.65,42.59,0.16,16.53
38.75,-121.55,nov,0.12298493150684932,2.39,7.5,1.02,3.73,55.87,0.49,66.6,1.88,11.0
38.75,-121.55,dec,0.10972511415525114,2.01,6.95,0.81,3.64,56.85,0.49,64.17,3.78,7.7
33.85,-116.25,jan,0.15186799501867998,3.68,6.36,0.87,6.73,27.18,0.69,44.36,0.3,7.96
33.85,-116.25,feb,0.17467828974678287,4.46,6.65,1.4,6.52,42.74,0.66,31.88,0.4,10.63
33.85,-116.25,mar,0.17972395184723952,5.08,6.86,1.92,5.71,56.03,0.6,54.62,0.49,8.76
33.85,-116.25,apr,0.22254566210045662,6.76,7.1,1.62,8.01,32.51,0.67,46.38,0.25,14.24
33.85,-116.25,may,0.21817870485678703,8.07,7.67,1.46,9.7,20.47,0.73,29.65,0.1,22.62
33.85,-116.25,jun,0.20023246160232464,8.04,8.36,1.7,9.14,23.54,0.7,21.65,0.04,28.19
33.85,-116.25,jul,0.19963574097135742,7.34,9.42,1.96,7.64,38.39,0.65,31.44,0.24,31.28
33.85,-116.25,aug,0.20061643835616438,7.64,8.37,1.11,9.89,11.37,0.74,24.2,0.15,28.48
33.85,-116.25,sep,0.19974366957243667,6.36,8.15,1.22,8.45,14.82,0.71,26.35,0.1,24.69
33.85,-116.25,oct,0.17303030303030303,4.98,7.28,1.03,7.67,23.11,0.69,36.0,0.12,16.93
33.85,-116.25,nov,0.1640058115400581,3.92,6.98,0.87,7.06,25.23,0.69,32.8,0.02,13.81
33.85,-116.25,dec,0.14423723536737237,3.32,6.31,0.88,6.29,25.39,0.67,36.89,0.12,7.58
34.15,-118.15,jan,0.13931121189682835,3.32,6.3,0.88,6.01,35.58,0.64,57.5,1.21,11.68
34.15,-118.15,feb,0.16471661730223372,4.32,6.45,1.18,6.76,40.68,0.65,48.58,1.96,13.2
34.15,-118.15,mar,0.15945159200296188,4.78,6.62,1.83,5.35,58.22,0.57,70.07,2.27,10.38
34.15,-118.15,apr,0.1769406392694064,5.72,7.13,1.94,6.04,47.76,0.57,72.61,1.72,13.4
34.15,-118.15,may,0.1948610082685425,7.32,7.63,1.69,8.35,31.73,0.66,64.43,0.57,18.15
34.15,-118.15,jun,0.1969296865358509,7.86,8.22,1.65,9.05,25.7,0.68,54.18,0.02,22.77
34.15,-118.15,jul,0.21076592002961864,7.72,8.92,1.63,8.79,22.3,0.69,49.27,0.07,26.73
34.15,-118.15,aug,0.2114474577317043,7.71,7.85,0.94,10.42,8.38,0.75,50.94,0.0,23.16
34.15,-118.15,sep,0.20254041712945825,6.32,7.79,1.17,8.56,14.89,0.71,44.91,0.04,22.61
34.15,-118.15,oct,0.16856981981981986,4.83,7.04,0.94,7.68,24.0,0.68,54.99,0.07,17.73
34.15,-118.15,nov,0.1515171849932124,3.68,6.81,0.94,6.48,29.59,0.67,45.51,0.13,16.48
34.15,-118.15,dec,0.13955957669998767,3.08,6.31,0.85,5.94,32.77,0.65,48.34,0.63,11.95
34.15,-118.65,jan,0.14243395977206688,3.32,6.3,0.88,6.01,35.58,0.64,64.04,1.74,12.99
34.15,-118.65,feb,0.17259066379863391,4.32,6.45,1.18,6.76,40.68,0.65,56.94,2.3,14.12
34.15,-118.65,mar,0.16564011849503757,4.78,6.62,1.83,5.35,58.22,0.57,72.89,2.61,11.32
34.15,-118.65,apr,0.17434620174346202,5.72,7.13,1.94,6.04,47.76,0.57,77.15,2.51,13.87
34.15,-118.65,may,0.1914613759009774,7.32,7.63,1.69,8.35,31.73,0.66,74.96,0.86,17.03
34.15,-118.65,jun,0.1945300766066644,7.86,8.22,1.65,9.05,25.7,0.68,67.76,0.02,20.9
34.15,-118.65,jul,0.21350956639873206,7.72,8.92,1.63,8.79,22.3,0.69,62.22,0.02,24.27
34.15,-118.65,aug,0.2117728027472735,7.71,7.85,0.94,10.42,8.38,0.75,67.79,0.01,21.07
34.15,-118.65,sep,0.19335437186308915,6.32,7.79,1.17,8.56,14.89,0.71,55.95,0.01,21.65
34.15,-118.65,oct,0.16768585607004038,4.83,7.04,0.94,7.68,24.0,0.68,61.26,0.12,18.25
