CountyName,Value
Alameda,73.5582
Alpine,82.8266
Amador,65.4063
Butte,91.3043
Calaveras,72.4144
Colusa,78.8141
Contra Costa,96.3942
Del Norte,87.6161
El Dorado,77.7332
Fresno,62.1073
Glenn,63.0552
Humboldt,68.8716
Imperial,73.5155
Inyo,61.261
Kern,74.4253
Kings,73.0787
Lake,77.0743
Lassen,76.2944
Los Angeles,64.1098
Madera,78.0205
Marin,81.3033
Mariposa,88.3513
Mendocino,68.2113
Merced,70.4694
Modoc,69.8949
Mono,68.3925
Monterey,70.6879
Napa,71.7673
Nevada,80.5563
Orange,67.5115
Placer,84.7129
Plumas,87.3847
Riverside,84.6044
Sacramento,65.9062
San Benito,82.9477
San Bernardino,81.5211
San Diego,75.959
San Francisco,70.8623
San Joaquin,73.9956
San Luis Obispo,81.4518
San Mateo,76.1399
Santa Barbara,83.3487
Santa Clara,72.3649
Santa Cruz,85.1694
Shasta,67.149
Sierra,80.8273
Siskiyou,71.4382
Solano,75.851
Sonoma,80.3418
Sutter,77.5376
Tehama,69.6935
Trinity,86.6152
Tulare,73.5813
Tuolumne,69.8406
Ventura,100
Yolo,77.3041
Yuba,68.8978
