CountyName,Value
Alameda,95
Alpine,90
Amador,22
Butte,64
Calaveras,85
Colusa,43
Contra Costa,59
Del Norte,58
El Dorado,94
Fresno,41
Glenn,84
Humboldt,61
Imperial,33
Inyo,47
Kern,45
Kings,63
Lake,1
Lassen,73
Los Angeles,46
Madera,100
Marin,19
Mariposa,10
Mendocino,60
Merced,95
Modoc,48
Mono,52
Monterey,32
Napa,46
Nevada,21
Orange,51
Placer,88
Plumas,72
Riverside,71
Sacramento,74
San Benito,33
San Bernardino,79
San Diego,99
San Francisco,37
San Joaquin,15
San Luis Obispo,33
San Mateo,21
Santa Barbara,80
Santa Clara,11
Santa Cruz,52
Shasta,61
Sierra,86
Siskiyou,45
Solano,1
Sonoma,25
Stanislaus,34
Sutter,14
Tehama,48
Trinity,85
Tulare,49
Tuolumne,31
Ventura,0
Yolo,89
Yuba,63
